	target	non_zero
6498	Nek9	697
6499	Wnk2	697
6500	Lime1	696
6501	Klf4	696
6502	Msh3	696
6503	Sbk1	696
6504	Prune	696
6505	Snap23	695
6506	Rgl2	695
6507	Ppm1f	695
6508	2010003O02Rik	695
6509	Thap3	695
6510	Inpp5j	695
6511	Kptn	695
6512	Sema6c	695
6513	Sgsm2	695
6514	Ostf1	694
6515	Ctxn2	694
6516	Tmem230	694
6517	Ddah1	693
6518	Parn	693
6519	H2-DMa	693
6520	Sox11	693
6521	Trp53bp2	693
6522	Hist1h1c	692
6523	Taf6	692
6524	Kdm4c	692
6525	Enho	692
6526	1110038B12Rik	692
6527	Ctdnep1	692
6528	Csrp2bp	692
6529	Dpf2	691
6530	Kcns2	691
6531	2810006K23Rik	691
6532	Pik3r3	690
6533	Prr13	690
6534	H2-L	690
6535	Vps33b	690
6536	Gpr108	690
6537	Mchr1	690
6538	Ncstn	690
6539	Cog3	689
6540	Bahd1	689
6541	Zfp715	689
6542	Tmem179b	689
6543	Sox5	689
6544	Purg	689
6545	Pmm2	688
6546	Yif1a	688
6547	Sergef	688
6548	Zfp68	688
6549	Tomm6	688
6550	Mfsd3	688
6551	Efhd1	688
6552	Dgcr6	688
6553	Arfip2	687
6554	Cep70	687
6555	Dzip1	687
6556	Gsto1	687
6557	Piga	687
6558	Rabgef1	687
6559	Sumf2	687
6560	Irs2	687
6561	Tmem43	686
6562	Znfx1	686
6563	Zfp428	686
6564	Nptx2	686
6565	Ube4a	686
6566	Gab1	686
6567	Chst15	686
6568	Trim41	685
6569	Zdhhc13	685
6570	Zfp280c	685
6571	Rsbn1l	685
6572	Adcy5	685
6573	Tpra1	685
6574	Ptp4a3	685
6575	Mrpl38	685
6576	Tipin	685
6577	Brms1	684
6578	Nck1	684
6579	Rgs8	684
6580	Ap2a1	684
6581	Sil1	684
6582	Kdm3a	684
6583	Isyna1	684
6584	Saysd1	684
6585	Arfip1	684
6586	Btbd6	684
6587	Sema4a	684
6588	9430016H08Rik	683
6589	Ggh	683
6590	Zfp804a	683
6591	Ppfia4	683
6592	Slc35a4	683
6593	Prpsap2	682
6594	Abt1	682
6595	Acn9	682
6596	Pik3r4	681
6597	Ldlr	681
6598	Nup35	681
6599	Cxxc1	681
6600	Smad1	681
6601	Wwp2	681
6602	Bloc1s6	681
6603	Pes1	680
6604	Fbxo7	680
6605	Hs6st1	680
6606	Rgs11	680
6607	Arhgef18	680
6608	Slc25a27	680
6609	Zfyve28	680
6610	Tfb2m	679
6611	Gng13	679
6612	Pla2g7	679
6613	Rhobtb3	679
6614	Rfesd	679
6615	Cpped1	678
6616	Ppp1r10	678
6617	Gid4	678
6618	Dut	678
6619	Polr3a	678
6620	Timmdc1	678
6621	Lpcat3	677
6622	Dnajc9	677
6623	Ache	677
6624	Ankfy1	677
6625	Ero1l	677
6626	Gt(ROSA)26Sor	677
6627	Flywch2	677
6628	Gpr37l1	677
6629	Asb1	677
6630	Mctp1	677
6631	Neurod1	676
6632	Syvn1	676
6633	Lrrc47	676
6634	Vrk3	676
6635	Marc2	676
6636	Taf10	676
6637	Gins4	676
6638	Cald1	676
6639	Imp4	676
6640	Thnsl1	675
6641	Rnf113a2	675
6642	Cerk	675
6643	Kdm6b	675
6644	Cacna1i	675
6645	Wdr3	675
6646	Hook1	674
6647	Ubtd2	674
6648	Golga3	674
6649	Cyp2j6	674
6650	Cc2d2a	674
6651	Tbc1d9	674
6652	Nme7	674
6653	Eif2ak1	673
6654	Ubxn2b	673
6655	Tmem109	673
6656	Rhobtb2	673
6657	BC037034	673
6658	Tpd52l1	673
6659	Slc39a9	672
6660	Rfx3	672
6661	Zfp821	672
6662	Rnf8	672
6663	2610015P09Rik	672
6664	AI597479	672
6665	Camk1	672
6666	Champ1	671
6667	Abcd2	671
6668	Pex14	671
6669	Scmh1	671
6670	Darc	671
6671	Pofut2	671
6672	Pyurf	671
6673	Sh3gl1	671
6674	Tmem251	670
6675	Carm1	670
6676	Mterfd2	670
6677	Tubgcp2	670
6678	Fpgt	670
6679	Cd302	670
6680	Kbtbd4	670
6681	Isy1	670
6682	Rwdd4a	669
6683	Plcxd2	669
6684	Kif21b	669
6685	Cxadr	669
6686	Zfp609	669
6687	Exosc8	669
6688	Cldn12	669
6689	Fbrsl1	669
6690	Tbcc	669
6691	Map3k4	669
6692	St18	669
6693	B4galnt4	668
6694	Rtn2	668
6695	Foxk1	668
6696	Fez2	668
6697	Akr7a5	668
6698	Hsd17b11	668
6699	Ets2	668
6700	Celf6	668
6701	Fbxo6	668
6702	Cyb5r4	668
6703	Osbpl11	668
6704	Ppfia1	668
6705	Tmem219	668
6706	Slc35b2	668
6707	Gid8	667
6708	Stk11	667
6709	Lrrfip2	667
6710	1700086L19Rik	667
6711	Prr5l	667
6712	Rilpl1	667
6713	Lrrc45	667
6714	Oaz1	667
6715	Slbp	667
6716	Fam189a1	666
6717	Lysmd1	666
6718	Dis3l2	666
6719	Prkaa1	666
6720	Wdr17	666
6721	Zfp770	666
6722	Ralgapa2	666
6723	Dnlz	666
6724	Rbm4b	665
6725	Zfp672	665
6726	Synpr	665
6727	Galntl6	665
6728	Abhd1	665
6729	Ddx19b	665
6730	Fbxo32	665
6731	Zdhhc6	665
6732	Dexi	665
6733	Ptp4a1	665
6734	Zmat5	665
6735	Hdac4	665
6736	Ppih	664
6737	Rprd1b	664
6738	Gtf2ird2	664
6739	Tmem169	664
6740	Eif4e3	664
6741	Hmgxb3	664
6742	Mta2	664
6743	Gpsm1	663
6744	Scrt1	663
6745	Gpalpp1	663
6746	Yrdc	663
6747	Afg3l1	663
6748	Mrps21	663
6749	Zfp932	662
6750	Mast2	662
6751	Tcaim	662
6752	Ptges2	662
6753	Grin2a	662
6754	Col4a2	661
6755	Gramd1b	661
6756	4931406C07Rik	661
6757	Nln	661
6758	Kctd10	660
6759	Atg7	660
6760	Flad1	660
6761	Ctdspl2	660
6762	Cacnb2	660
6763	Chpf2	659
6764	Ikbkb	659
6765	Tex261	659
6766	Atp5sl	659
6767	Zcchc8	659
6768	Nupl1	659
6769	Tmem184b	659
6770	Qrsl1	658
6771	Tmem134	658
6772	Amdhd2	658
6773	Spg21	658
6774	Uba6	658
6775	Nacad	658
6776	Ier3	658
6777	Gm20604	658
6778	Sap18	657
6779	Ptpn23	657
6780	Phf17	657
6781	Kcnd3	657
6782	Fam118a	657
6783	Nup62	656
6784	Fbxw9	656
6785	Dynlt1a	656
6786	A530054K11Rik	656
6787	Mtx3	656
6788	Coq10a	656
6789	Trpc5	655
6790	Gpr61	655
6791	Dph5	655
6792	Cmss1	655
6793	Rasgrf2	655
6794	Gm1976	655
6795	Rnft1	655
6796	4933427D14Rik	655
6797	Kcnip3	655
6798	Frmd8	655
6799	Gpkow	655
6800	Gnpnat1	654
6801	Styx	654
6802	Armc10	654
6803	Gpr56	654
6804	Usp39	654
6805	Ddx39	654
6806	Gm8615	654
6807	Slc9a8	654
6808	Xkr4	653
6809	Tapbp	653
6810	Rlf	653
6811	Sharpin	653
6812	Fam174b	653
6813	Ciz1	653
6814	Usp1	653
6815	C630043F03Rik	653
6816	Rps19bp1	653
6817	1600012H06Rik	652
6818	1200014J11Rik	651
6819	Zfand2b	651
6820	Zmym6	651
6821	Nsun6	651
6822	Hdhd3	651
6823	Cml1	651
6824	Pard3	651
6825	Ccdc137	651
6826	Sephs2	651
6827	Ncor2	651
6828	Cnot6	650
6829	Zfr2	650
6830	Gas2l1	650
6831	Dbpht2	650
6832	Rnpepl1	650
6833	Usp29	650
6834	Ano6	650
6835	Rps6kc1	650
6836	Narfl	649
6837	Ankrd13a	649
6838	Myo9b	649
6839	Fchsd2	649
6840	Neurl1b	649
6841	Ap5m1	649
6842	Mms19	649
6843	Znhit2	649
6844	Decr2	648
6845	Tdrd7	648
6846	Epg5	648
6847	Abhd5	648
6848	Klhdc4	647
6849	BC048507	647
6850	Robo1	647
6851	Unc45a	647
6852	Phkb	647
6853	Kmt2b	647
6854	Kri1	647
6855	Fig4	647
6856	Cstf1	647
6857	Dym	647
6858	Phf1	647
6859	Zfp868	647
6860	Slc30a6	646
6861	Chst11	646
6862	Thap11	646
6863	Cpm	646
6864	Dcaf4	646
6865	Cep68	646
6866	Ppp4c	646
6867	Stx18	646
6868	Helz	646
6869	Lrrc24	646
6870	Celf3	645
6871	Gss	645
6872	Trmt10b	645
6873	Zfp157	645
6874	Mpp3	645
6875	Mcmbp	645
6876	Mettl14	644
6877	Shisa9	644
6878	Tbr1	644
6879	Tm7sf2	644
6880	2310067B10Rik	644
6881	Trub1	644
6882	Max	644
6883	Enox1	644
6884	Hivep3	644
6885	Ikbkg	644
6886	Rnf182	644
6887	Exog	644
6888	Erich1	643
6889	Kcnmb4	643
6890	Tspan15	643
6891	Ipmk	643
6892	Rbm24	642
6893	3632451O06Rik	642
6894	Sox2	642
6895	Scd1	642
6896	Spty2d1	641
6897	Pank1	641
6898	Zfp422	641
6899	Pxdn	641
6900	Polg	641
6901	Tgfbrap1	640
6902	Xrcc4	640
6903	Mettl2	640
6904	Chd7	640
6905	Tbc1d5	639
6906	Myo5b	639
6907	Mfsd11	639
6908	Tbc1d13	639
6909	Mtif3	639
6910	Mccc1	639
6911	Brdt	639
6912	Pcca	638
6913	Tatdn1	638
6914	Triqk	638
6915	Ncoa3	638
6916	Pycrl	638
6917	5530601H04Rik	638
6918	Fam60a	637
6919	Asb6	637
6920	Mib2	636
6921	Metap1d	636
6922	Pde1b	636
6923	Pitrm1	636
6924	Smg9	636
6925	Tmem150c	635
6926	Cab39l	635
6927	Mapk4	635
6928	Cryl1	635
6929	Pik3ip1	635
6930	Pank4	635
6931	Fabp7	635
6932	Cotl1	634
6933	Vrk1	634
6934	Tnks	634
6935	Spink10	634
6936	Rnf138	634
6937	Ubxn7	634
6938	Tbl3	634
6939	Ltv1	634
6940	Zcchc12	634
6941	Zfyve16	633
6942	Gm5124	633
6943	Dusp14	633
6944	Ermard	633
6945	Trmt11	633
6946	2410131K14Rik	633
6947	Plekhg1	633
6948	1110012L19Rik	633
6949	Ints8	632
6950	Ap1s2	632
6951	Galnt6	632
6952	Pxk	632
6953	Tfe3	632
6954	Tjp2	632
6955	Smox	632
6956	Ubash3b	632
6957	Ppapdc1b	632
6958	D130017N08Rik	632
6959	Ier2	631
6960	Nkrf	631
6961	Rdh13	631
6962	Klhl28	631
6963	Elfn2	631
6964	S100a10	631
6965	Fam126a	631
6966	Mrps30	631
6967	Plekhm2	631
6968	Inip	631
6969	Ppfibp1	631
6970	N4bp2l1	630
6971	Ppie	630
6972	Tmem123	630
6973	Slc25a33	630
6974	Mccc2	630
6975	Ccdc58	629
6976	Dus2l	629
6977	Cd320	629
6978	Garem	629
6979	Specc1l	629
6980	Zfp942	629
6981	Sf3b4	629
6982	Atg10	628
6983	Rnaseh2a	628
6984	Nsmaf	628
6985	Pibf1	628
6986	Ubap1	628
6987	Plxnb1	628
6988	Wipi1	628
6989	Tmem229b	628
6990	Trmt13	627
6991	Eif5a2	627
6992	Lingo2	627
6993	1810026B05Rik	627
6994	Hint2	627
6995	Zfp346	627
6996	Uchl4	627
6997	Gsr	626
6998	Gm7367	626
6999	2510039O18Rik	626
7000	Atad3a	626
7001	Tbc1d10a	626
7002	Ptpn3	626
7003	Cdh12	626
7004	Sema5a	626
7005	Nnt	626
7006	Timm21	625
7007	Tma16	625
7008	Srgap1	625
7009	Grhl1	625
7010	Jazf1	625
7011	Sox9	625
7012	Usp42	625
7013	Zc4h2	625
7014	Tcea2	625
7015	Lhpp	624
7016	Kdm5c	624
7017	Pyroxd1	624
7018	1700011J10Rik	624
7019	Setd1a	624
7020	Mtcp1	624
7021	Ctso	623
7022	Zcchc2	623
7023	Smyd3	623
7024	Npas4	623
7025	Zfp771	623
7026	Ahcy	622
7027	Lbr	622
7028	Pnpt1	622
7029	Sfxn5	622
7030	Gal3st1	622
7031	Tesk1	622
7032	Lpin1	622
7033	Csrnp2	622
7034	Myrip	622
7035	Dtwd1	622
7036	Mir5114	622
7037	Osgepl1	621
7038	Gps2	621
7039	Fastkd2	621
7040	Glrx3	621
7041	Anapc10	621
7042	Gjb1	620
7043	Rasl10a	620
7044	Tmed1	620
7045	Itga4	620
7046	Phf8	620
7047	Cc2d1b	619
7048	Ric8b	619
7049	Dennd6b	619
7050	Vps54	619
7051	Abcb7	619
7052	9130024F11Rik	619
7053	Dennd6a	619
7054	Aga	618
7055	Sphk2	618
7056	Nprl3	618
7057	Taf7	617
7058	Gpr162	617
7059	Ephb3	617
7060	Fbxl12	617
7061	Sntg1	617
7062	Ccdc91	616
7063	Rint1	616
7064	Elof1	616
7065	Sirt7	616
7066	Galk2	616
7067	Pou2f1	616
7068	Pgm3	616
7069	Lrig2	616
7070	Pms2	616
7071	Pold3	615
7072	Camk1g	615
7073	Rnf185	615
7074	Ints4	615
7075	Pogk	615
7076	Atg14	615
7077	Mb21d2	614
7078	Xrcc6	614
7079	2610008E11Rik	614
7080	Mcu	614
7081	Mgat4a	614
7082	Gtf2h3	614
7083	Arsa	614
7084	Eif2d	613
7085	Dbt	613
7086	Oraov1	613
7087	Pik3cb	613
7088	Tmpo	613
7089	Ppargc1b	613
7090	Mboat2	613
7091	Slc7a5	612
7092	Ilvbl	612
7093	Pcif1	612
7094	Pik3c2b	612
7095	2700097O09Rik	612
7096	Fbrs	612
7097	Rad17	611
7098	Lig3	611
7099	Ddit4	611
7100	Lemd2	611
7101	Wdr59	611
7102	Dgcr14	611
7103	Gne	611
7104	Ormdl2	611
7105	Nde1	611
7106	Daam2	610
7107	Adprm	610
7108	Pcbp3	610
7109	Kat8	610
7110	Tspan17	610
7111	Snora81	610
7112	Nom1	609
7113	Slc29a3	609
7114	Rbm48	609
7115	Gm14403	609
7116	Tbl1x	609
7117	Rgs19	609
7118	Fbxo42	609
7119	Ccdc66	609
7120	Rnf126	609
7121	Impdh1	609
7122	Elp6	608
7123	Sap130	608
7124	Txlng	608
7125	Gatc	608
7126	Cpne3	608
7127	Zfp120	608
7128	1700021K19Rik	608
7129	Morc2a	608
7130	Sorcs1	608
7131	Igf2r	608
7132	Arhgef10	607
7133	Hsf2	607
7134	Bhlhe22	607
7135	Abca1	607
7136	Nif3l1	607
7137	Ttf1	607
7138	Klhl29	607
7139	Gm13476	607
7140	Tiparp	607
7141	S1pr1	606
7142	Spata7	606
7143	5031425E22Rik	606
7144	Slc37a4	606
7145	Utp6	606
7146	Mios	606
7147	Fezf2	605
7148	Asnsd1	605
7149	Zfp941	605
7150	Mrrf	605
7151	Rorb	605
7152	Neat1	605
7153	Zfp949	605
7154	Slc9a9	605
7155	Inpp1	604
7156	Pet112	604
7157	Crtc2	604
7158	Zfp26	604
7159	Rnf26	604
7160	Emd	604
7161	Otub2	603
7162	Lhx2	603
7163	Zfp763	603
7164	Twsg1	603
7165	Sfmbt1	603
7166	Mief1	603
7167	Hebp1	603
7168	S1pr5	603
7169	1700066M21Rik	602
7170	Dclre1c	602
7171	Mmaa	602
7172	Sptlc2	602
7173	Mto1	602
7174	Nebl	602
7175	Cdkn1a	602
7176	Dot1l	602
7177	Slc25a28	602
7178	Kat5	602
7179	Izumo4	602
7180	Ccdc136	601
7181	Egr4	601
7182	Papd7	601
7183	Pkp2	601
7184	Rpl30	601
7185	Trub2	601
7186	Nhsl2	600
7187	Stk38l	600
7188	Dedd	600
7189	Tmub1	600
7190	Msto1	599
7191	Bbs1	599
7192	Map2k5	599
7193	Pgr	598
7194	Abcb6	598
7195	Tk2	598
7196	Golga5	598
7197	Phka2	598
7198	Pex1	598
7199	Plekhm3	598
7200	Klf16	598
7201	Fosl2	598
7202	Cdkn1b	598
7203	Mvb12a	598
7204	8430429K09Rik	598
7205	Kat2b	597
7206	Macrod2	597
7207	Ppap2a	597
7208	Ago3	597
7209	Clybl	597
7210	Pigx	597
7211	BC068157	597
7212	Pdzd4	597
7213	Coprs	597
7214	Paqr7	597
7215	Tada3	596
7216	Zfp180	596
7217	Smim1	596
7218	Gga2	596
7219	Rras2	596
7220	Gad1	596
7221	Ehbp1	595
7222	Lman2l	595
7223	Rangrf	595
7224	Zfp40	595
7225	Mtmr12	595
7226	Asna1	595
7227	Zfp60	595
7228	Stat2	594
7229	Rgl1	593
7230	Zfp426	593
7231	Plekha5	593
7232	Prep	593
7233	Ntpcr	593
7234	Ap5s1	593
7235	Ccl19_loc1	593
7236	Kifc3	593
7237	D16Ertd472e	592
7238	Smad5	592
7239	Rbl2	592
7240	Ccnk	591
7241	Tarbp2	591
7242	Ap5z1	591
7243	Dock7	591
7244	Plxnd1	591
7245	Smyd5	590
7246	Zfx	590
7247	Ptpmt1	590
7248	1110008J03Rik	590
7249	Usp35	590
7250	Polr3d	590
7251	Fbxl15	589
7252	Tsfm	589
7253	Lrrc40	589
7254	Fam110b	589
7255	Plekha8	589
7256	Trim27	589
7257	Raver2	588
7258	Cpeb4	588
7259	Mettl3	588
7260	2310022B05Rik	588
7261	Zfp719	588
7262	Tmem38b	588
7263	Fam154b	588
7264	Lrch3	588
7265	Chpt1	588
7266	Cox11	587
7267	Pspc1	587
7268	Ramp2	587
7269	Nol6	587
7270	Zfp580	587
7271	9330182L06Rik	587
7272	Dtx4	586
7273	Brpf1	586
7274	Ppp6r2	586
7275	Zfp12	586
7276	Sh3kbp1	586
7277	Prr24	586
7278	Dusp19	586
7279	Zfp869	586
7280	Trafd1	586
7281	Zfhx2	586
7282	B630019K06Rik	586
7283	Lyrm4	586
7284	Hmbs	586
7285	Gm7120	586
7286	Tvp23a	586
7287	Gas8	585
7288	Sipa1l2	585
7289	Rhoc	585
7290	Wdr41	585
7291	Phf15	585
7292	Hmces	585
7293	BC017643	584
7294	Cacna1c	584
7295	Ercc6l2	584
7296	Acy1	584
7297	Pcyox1l	584
7298	Prkra	584
7299	Ankrd45	584
7300	Sephs1	584
7301	Hectd2	583
7302	Cbr4	583
7303	Fads3	583
7304	Cttnbp2nl	583
7305	1810055G02Rik	583
7306	Snapc1	583
7307	Atf7ip	583
7308	Dcx	582
7309	Timm50	582
7310	Rcbtb2	582
7311	Usp37	582
7312	Aff3	582
7313	Zeb1	582
7314	Tmem129	582
7315	Mthfsd	582
7316	Aida	582
7317	Dhx33	582
7318	Pcdhac2	581
7319	Brinp3	581
7320	Car10	581
7321	Smpdl3a	580
7322	Snx18	580
7323	Slc15a4	580
7324	Dusp18	580
7325	Bhlhe41	580
7326	St8sia1	579
7327	Tsen2	579
7328	Zfp14	579
7329	Zfp943	579
7330	Usp30	579
7331	Lactb	579
7332	Nefh	579
7333	Cyb561d2	579
7334	Pus7	579
7335	Mipep	579
7336	Npy	578
7337	Ercc1	578
7338	Txndc5	578
7339	Gadd45b	578
7340	Dnttip1	578
7341	Rell1	578
7342	Hpcal1	578
7343	Mbd6	578
7344	Zfyve19	578
7345	Cmpk2	577
7346	Mettl6	577
7347	Igsf21	577
7348	Lclat1	577
7349	Ints6	577
7350	Sgpl1	577
7351	Sema3c	577
7352	Rassf1	577
7353	Cnst	577
7354	Znhit1	576
7355	Hhip	576
7356	Tmem200a	576
7357	Tctn3	576
7358	Dgkq	576
7359	Zc3h4	576
7360	Kitl	576
7361	E430025E21Rik	576
7362	Wdr5	575
7363	Slain2	575
7364	Pelp1	575
7365	Rgs12	575
7366	Tmem44	575
7367	Armc6	575
7368	Utrn	574
7369	2310047M10Rik	574
7370	Naa40	574
7371	Gm15455	574
7372	Mn1	574
7373	5430416N02Rik	574
7374	Endog	573
7375	Ica1l	573
7376	Rdh11	573
7377	Pomgnt2	573
7378	Zfp46	573
7379	Ube2s	573
7380	Rbmx2	573
7381	Tshz1	573
7382	Vars	573
7383	2210408I21Rik	573
7384	Hrh3	573
7385	2610019E17Rik	573
7386	Gm7334	572
7387	Adck5	572
7388	Slc35e4	572
7389	Nbn	572
7390	Dusp26	572
7391	Ift27	572
7392	Arhgef26	572
7393	Zcchc24	572
7394	Lrrtm3	572
7395	Ogfr	572
7396	Noc4l	571
7397	Bcl9	571
7398	Ift80	571
7399	Ahdc1	571
7400	Alyref	571
7401	Ctbp2	571
7402	Parp8	571
7403	Arsk	570
7404	Slc9a3r2	570
7405	Hopx	570
7406	Lonrf2	570
7407	Dpp8	570
7408	Mlxip	570
7409	Pck2	569
7410	Hist1h2ap_loc2	569
7411	Pi4kb	569
7412	Uxt	569
7413	Qpct	569
7414	Ppp1r1b	569
7415	Zdhhc16	569
7416	Asb7	569
7417	Hint3	569
7418	D10Wsu102e	569
7419	Ttc27	568
7420	Hcn2	568
7421	Elmod2	568
7422	H2afx	568
7423	Hdac7	568
7424	Smco3	568
7425	Ntsr2	568
7426	Wnk3	568
7427	Scube1	568
7428	Sox8	568
7429	Pcid2	567
7430	Gpr180	567
7431	Utp15	567
7432	Zfp2	567
7433	Acaa1b	567
7434	1500009L16Rik	567
7435	Pla2g6	567
7436	5430405H02Rik	567
7437	Polr3f	567
7438	Lrba	567
7439	Enpp6	567
7440	Galnt13	567
7441	Sike1	567
7442	2300009A05Rik	566
7443	Abtb1	566
7444	Fam58b	566
7445	Fbf1	566
7446	Brap	566
7447	Chchd5	566
7448	Arhgap29	566
7449	St6galnac4	566
7450	Emb	566
7451	Tpm4	566
7452	Rnaset2a	566
7453	Zbtb17	566
7454	Ralb	565
7455	Strada	565
7456	Cldn10	565
7457	Lyplal1	565
7458	Dph6	565
7459	Wdr54	565
7460	Thtpa	565
7461	Chtf8	565
7462	Ibtk	564
7463	Zfp800	564
7464	Lrp10	564
7465	Hapln2	564
7466	Hmga1-rs1	564
7467	Pusl1	564
7468	Zbed6	563
7469	Scarb1	563
7470	Arnt	563
7471	Tmem150a	563
7472	Rad52	563
7473	Gm2011	562
7474	Stxbp2	562
7475	Bckdhb	562
7476	Ydjc	562
7477	P2rx4	562
7478	H2-Ke6	562
7479	Srd5a3	562
7480	Jmjd6	562
7481	Pgd	562
7482	Golm1	562
7483	Tle2	561
7484	Zfp317	561
7485	Pabpc4	561
7486	Med17	561
7487	Ccdc106	561
7488	Hps3	561
7489	Cdk18	561
7490	Ackr3	561
7491	Slit1	560
7492	Wnt4	560
7493	AI987944	560
7494	E130309D02Rik	559
7495	Cep110	559
7496	Szt2	559
7497	Tmem176b	559
7498	Etv3	558
7499	Mir684-1_loc4	558
7500	Edem2	558
7501	BC016423	558
7502	Slc4a2	558
7503	Lig4	558
7504	Lsm4	557
7505	Tmem245	557
7506	Usp40	557
7507	Rpgrip1l	557
7508	Bivm	557
7509	Guf1	557
7510	Rhof	557
7511	Fmn1	557
7512	Ccdc93	557
7513	Upf3a	557
7514	Gm5617	557
7515	Pdlim5	556
7516	Tceanc2	556
7517	Gtpbp1	556
7518	Rpap1	556
7519	Oxsr1	556
7520	Secisbp2	556
7521	2010204K13Rik	556
7522	Mus81	556
7523	Zfp945	556
7524	Thap7	556
7525	Bin3	556
7526	Lbh	555
7527	Plxnb3	555
7528	Fam76b	555
7529	Ap4e1	555
7530	Fbxl6	555
7531	Slc25a26	555
7532	Mrto4	555
7533	Crot	555
7534	Als2	555
7535	Trpt1	554
7536	Glb1	554
7537	Tprn	554
7538	Satb2	554
7539	Slc38a3	553
7540	Nudt14	553
7541	Mterfd3	553
7542	AF357425	553
7543	Lss	553
7544	Elac1	553
7545	Dtd2	553
7546	Def8	552
7547	Trim59	552
7548	Cachd1	552
7549	Nbl1	552
7550	Ankrd29	552
7551	Utp23	552
7552	Ebag9	552
7553	Cables2	552
7554	Zkscan6	552
7555	Bach1	552
7556	Tfcp2	552
7557	Plk3	551
7558	2310011J03Rik	551
7559	Tspyl3	551
7560	C030023E24Rik	551
7561	Ppp3cc	551
7562	Krt222	551
7563	1110007C09Rik	551
7564	Cyp20a1	551
7565	Tab1	551
7566	Pinx1	551
7567	Nup54	550
7568	Zfp598	550
7569	Gm7977	550
7570	Tmem115	550
7571	Naaa	550
7572	Gm20172	550
7573	Slc35f5	550
7574	Lsg1	549
7575	Zfp35	549
7576	Afap1l1	549
7577	Zfp384	549
7578	Nkx6-2	549
7579	Prr7	548
7580	Rasd1	548
7581	Yod1	547
7582	Utp20	547
7583	Mlh3	547
7584	Ubxn8	547
7585	Sstr1	547
7586	C87436	547
7587	Fam163b	547
7588	Mif4gd	547
7589	Gmppb	546
7590	Ncoa5	546
7591	Hunk	545
7592	Ppp2r3d	545
7593	Wdr24	545
7594	Syt12	545
7595	E130102H24Rik	545
7596	4933411K20Rik	545
7597	Adcy8	545
7598	Ttc37	545
7599	Ext2	545
7600	Tbc1d32	545
7601	Syt17	545
7602	Dgkh	545
7603	H2-D1	545
7604	Oard1	545
7605	Sec22c	545
7606	Gucy1a3	544
7607	Snta1	544
7608	Med11	544
7609	D030056L22Rik	544
7610	Rrs1	544
7611	2900076A07Rik	544
7612	C230004F18Rik	544
7613	Ccdc71l	543
7614	F8a	543
7615	Nacc1	543
7616	Necab3	543
7617	Nop2	543
7618	Nfe2l2	543
7619	Lrrc8a	543
7620	Map3k9	543
7621	C330006A16Rik	543
7622	Cdo1	542
7623	Tdrd3	542
7624	Zfp84	542
7625	Gad2	542
7626	Fgf1	541
7627	Igfbp5	541
7628	Hilpda	541
7629	Fra10ac1	541
7630	Lyar	541
7631	Shc2	541
7632	Cnnm3	541
7633	Nrp2	541
7634	Slc2a8	540
7635	Cic	540
7636	Mnt	540
7637	Cyhr1_loc2	540
7638	Plcb4	540
7639	Ugdh	540
7640	Brf1	540
7641	Per3	539
7642	Comtd1	539
7643	3010026O09Rik	539
7644	Dusp15	539
7645	Cep164	539
7646	Rbm12b2	539
7647	Xpc	539
7648	Npas3	539
7649	Palm2	539
7650	Taf15	539
7651	Zfp236	539
7652	Adssl1	538
7653	BC090627	538
7654	Paxip1	538
7655	H1fx	538
7656	Gm5801_loc1	538
7657	Cops7b	538
7658	Mir207	538
7659	Ppat	538
7660	Suv420h2	538
7661	Hrk	538
7662	Myo1b	537
7663	Zfp830	537
7664	Mybbp1a	537
7665	Snx24	537
7666	Ippk	537
7667	Lyrm7	537
7668	Slc39a13	536
7669	Surf6	536
7670	Hcn3	536
7671	Cbwd1	536
7672	Zfp263	536
7673	Tspyl2	536
7674	Mtmr10	536
7675	Agl	536
7676	Pwp2	535
7677	Blvrb	535
7678	Ino80e	535
7679	Kdm2b	535
7680	Mrps2	535
7681	Me2	535
7682	Gm4832	535
7683	Fat1	534
7684	Cdkal1	534
7685	Siae	534
7686	Lrrc14	534
7687	Med30	534
7688	Sox10	534
7689	Prrc2a	534
7690	Slc31a2	534
7691	Ttc17	534
7692	Slc16a6	534
7693	Alkbh8	533
7694	Golim4	533
7695	Rnpep	533
7696	Tmem178b	533
7697	Cog2	533
7698	Aldh2	533
7699	Gm9866	533
7700	Rrnad1	532
7701	Hist2h2aa1_loc2	532
7702	Nfkbiz	532
7703	Ednrb	532
7704	Rimbp2	532
7705	Wdr44	532
7706	Ino80c	532
7707	Traip	532
7708	Ercc4	532
7709	Pltp	531
7710	BC005764	531
7711	2410004B18Rik	531
7712	Smim18	531
7713	Uggt2	531
7714	Lmo1	531
7715	Sec24a	531
7716	Pdgfb	531
7717	E2f3	531
7718	Mxd1	531
7719	Abcc8	531
7720	Mapkapk5	531
7721	3110001I22Rik	531
7722	Parva	530
7723	1300002E11Rik	530
7724	Ercc6	530
7725	Axin1	530
7726	Kank3	530
7727	Crem	530
7728	Ccdc39	530
7729	Fam173b	530
7730	Camk2n2	530
7731	Pigh	529
7732	Unkl	529
7733	Gtpbp6	529
7734	Nme5	529
7735	Cnpy4	529
7736	Rps4y2	528
7737	Igsf3	528
7738	2010315B03Rik	528
7739	Fgfr3	528
7740	Fam210b	528
7741	Onecut2	527
7742	Snapc4	527
7743	Olig2	527
7744	Mdm4	527
7745	Spred2	527
7746	Mpzl1	527
